gene_id	gene_symbol	gene_full_name
1315	COPB1	"coatomer protein complex, subunit beta 1"
9276	COPB2	"coatomer protein complex, subunit beta 2 (beta prime)"
1314	COPA	"coatomer protein complex, subunit alpha"
3313	HSPA9	heat shock 70kDa protein 9 (mortalin)
29127	RACGAP1	Rac GTPase activating protein 1
1213	CLTC	"clathrin, heavy chain (Hc)"
11316	COPE	"coatomer protein complex, subunit epsilon"
22818	COPZ1	"coatomer protein complex, subunit zeta 1"
1785	DNM2	dynamin 2
3309	HSPA5	"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)"
91227	GGTLC2	gamma-glutamyltransferase light chain 2
3685	ITGAV	"integrin, alpha V"
8729	GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1
3329	HSPD1	heat shock 60kDa protein 1 (chaperonin)
10075	HUWE1	"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase"
6811	STX5	syntaxin 5
10159	ATP6AP2	"ATPase, H+ transporting, lysosomal accessory protein 2"
705	BYSL	bystin-like
10113	PREB	prolactin regulatory element binding
6382	SDC1	syndecan 1
10296	MAEA	macrophage erythroblast attacher
3192	HNRNPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
1173	AP2M1	"adaptor-related protein complex 2, mu 1 subunit"
53407	STX18	syntaxin 18
1175	AP2S1	"adaptor-related protein complex 2, sigma 1 subunit"
5411	PNN	"pinin, desmosome associated protein"
10804	GJB6	"gap junction protein, beta 6, 30kDa"
1759	DNM1	dynamin 1
79865	TREML2	triggering receptor expressed on myeloid cells-like 2
3693	ITGB5	"integrin, beta 5"
926	CD8B	CD8b molecule
6861	SYT5	synaptotagmin V
3146	HMGB1	high mobility group box 1
14	AAMP	"angio-associated, migratory cell protein"
6520	SLC3A2	"solute carrier family 3 (amino acid transporter heavy chain), member 2"
349667	RTN4RL2	reticulon 4 receptor-like 2
8416	ANXA9	annexin A9
23208	SYT11	synaptotagmin XI
1464	CSPG4	chondroitin sulfate proteoglycan 4
11173	ADAMTS7	"ADAM metallopeptidase with thrombospondin type 1 motif, 7"
2700	GJA3	"gap junction protein, alpha 3, 46kDa"
6997	TDGF1	teratocarcinoma-derived growth factor 1
91683	SYT12	synaptotagmin XII
63827	BCAN	brevican
3680	ITGA9	"integrin, alpha 9"
51330	TNFRSF12A	"tumor necrosis factor receptor superfamily, member 12A"
2322	FLT3	fms-related tyrosine kinase 3
284114	TMEM102	transmembrane protein 102
10164	CHST4	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4
3688	ITGB1	"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
9170	LPAR2	lysophosphatidic acid receptor 2
8906	AP1G2	"adaptor-related protein complex 1, gamma 2 subunit"
6387	CXCL12	chemokine (C-X-C motif) ligand 12
60484	HAPLN2	hyaluronan and proteoglycan link protein 2
920	CD4	CD4 molecule
939	CD27	CD27 molecule
124975	GGT6	gamma-glutamyltransferase 6
5037	PEBP1	phosphatidylethanolamine binding protein 1
9619	ABCG1	"ATP-binding cassette, sub-family G (WHITE), member 1"
63923	TNN	tenascin N
773	CACNA1A	"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit"
166752	FREM3	FRAS1 related extracellular matrix 3
5864	RAB3A	"RAB3A, member RAS oncogene family"
1212	CLTB	"clathrin, light chain B"
2678	GGT1	gamma-glutamyltransferase 1
338328	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
6812	STXBP1	syntaxin binding protein 1
8773	SNAP23	"synaptosomal-associated protein, 23kDa"
2152	F3	"coagulation factor III (thromboplastin, tissue factor)"
404037	HAPLN4	hyaluronan and proteoglycan link protein 4
1003	CDH5	"cadherin 5, type 2 (vascular endothelium)"
9482	STX8	syntaxin 8
10446	LRRN2	leucine rich repeat neuronal 2
811	CALR	calreticulin
65078	RTN4R	reticulon 4 receptor
1636	ACE	angiotensin I converting enzyme
255738	PCSK9	proprotein convertase subtilisin/kexin type 9
56121	PCDHB15	protocadherin beta 15
3791	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)
10288	LILRB2	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"
8913	CACNA1G	"calcium channel, voltage-dependent, T type, alpha 1G subunit"
6504	SLAMF1	signaling lymphocytic activation molecule family member 1
8214	DGCR6	DiGeorge syndrome critical region gene 6
949	SCARB1	"scavenger receptor class B, member 1"
8788	DLK1	delta-like 1 homolog (Drosophila)
5792	PTPRF	"protein tyrosine phosphatase, receptor type, F"
921	CD5	CD5 molecule
2044	EPHA5	EPH receptor A5
1511	CTSG	cathepsin G
92086	GGTLC1	gamma-glutamyltransferase light chain 1
22820	COPG1	"coatomer protein complex, subunit gamma 1"
912	CD1D	CD1d molecule
80142	PTGES2	prostaglandin E synthase 2
8029	CUBN	cubilin (intrinsic factor-cobalamin receptor)
2027	ENO3	"enolase 3 (beta, muscle)"
3676	ITGA4	"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)"
51148	CERCAM	cerebral endothelial cell adhesion molecule
3674	ITGA2B	"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)"
56142	PCDHA6	protocadherin alpha 6
81502	HM13	histocompatibility (minor) 13
8496	PPFIBP1	"PTPRF interacting protein, binding protein 1 (liprin beta 1)"
8546	AP3B1	"adaptor-related protein complex 3, beta 1 subunit"
25825	BACE2	beta-site APP-cleaving enzyme 2
1306	COL15A1	"collagen, type XV, alpha 1"
4356	MPP3	"membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)"
57488	ESYT2	extended synaptotagmin-like protein 2
55867	SLC22A11	"solute carrier family 22 (organic anion/urate transporter), member 11"
2811	GP1BA	"glycoprotein Ib (platelet), alpha polypeptide"
1404	HAPLN1	hyaluronan and proteoglycan link protein 1
26585	GREM1	"gremlin 1, DAN family BMP antagonist"
2206	MS4A2	"membrane-spanning 4-domains, subfamily A, member 2"
57555	NLGN2	neuroligin 2
30845	EHD3	EH-domain containing 3
56131	PCDHB4	protocadherin beta 4
10053	AP1M2	"adaptor-related protein complex 1, mu 2 subunit"
6422	SFRP1	secreted frizzled-related protein 1
84258	SYT3	synaptotagmin III
1861	TOR1A	"torsin family 1, member A (torsin A)"
90019	SYT8	synaptotagmin VIII
431705	ASTL	astacin-like metallo-endopeptidase (M12 family)
140453	MUC17	"mucin 17, cell surface associated"
2013	EMP2	epithelial membrane protein 2
2702	GJA5	"gap junction protein, alpha 5, 40kDa"
5329	PLAUR	"plasminogen activator, urokinase receptor"
9342	SNAP29	"synaptosomal-associated protein, 29kDa"
2741	GLRA1	"glycine receptor, alpha 1"
57165	GJC2	"gap junction protein, gamma 2, 47kDa"
2903	GRIN2A	"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"
1234	CCR5	chemokine (C-C motif) receptor 5 (gene/pseudogene)
26985	AP3M1	"adaptor-related protein complex 3, mu 1 subunit"
1174	AP1S1	"adaptor-related protein complex 1, sigma 1 subunit"
57091	CASS4	Cas scaffolding protein family member 4
162	AP1B1	"adaptor-related protein complex 1, beta 1 subunit"
84062	DTNBP1	dystrobrevin binding protein 1
10699	CORIN	"corin, serine peptidase"
3679	ITGA7	"integrin, alpha 7"
5027	P2RX7	"purinergic receptor P2X, ligand-gated ion channel, 7"
161497	STRC	stereocilin
3673	ITGA2	"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
8764	TNFRSF14	"tumor necrosis factor receptor superfamily, member 14"
