Gene Name	UniProt	GeneID	CSPA category	Surfaceome	CRISPR	GO cell surface	GO plasma membrane	Num cell surface evidence
IGHV3-64	A0A075B6Q5			FALSE	FALSE	TRUE	TRUE	1
TRGV2	A0A075B6R0			FALSE	FALSE	TRUE	TRUE	1
IGHV4-4	A0A075B6R2			FALSE	FALSE	TRUE	TRUE	1
IGHV4-30-2	A0A087WSY4			FALSE	FALSE	TRUE	TRUE	1
IGHV1-45	A0A0A0MS14			FALSE	FALSE	TRUE	TRUE	1
IGHV3-49	A0A0A0MS15			FALSE	FALSE	TRUE	TRUE	1
TRGV5	A0A0B4J1U4			FALSE	FALSE	TRUE	TRUE	1
IGHV6-1	A0A0B4J1U7			FALSE	FALSE	TRUE	TRUE	1
IGHV3-15	A0A0B4J1V0			FALSE	FALSE	TRUE	TRUE	1
IGHV3-21	A0A0B4J1V1			FALSE	FALSE	TRUE	TRUE	1
IGHV2-26	A0A0B4J1V2			FALSE	FALSE	TRUE	TRUE	1
IGHV3-73	A0A0B4J1V6			FALSE	FALSE	TRUE	TRUE	1
IGHV7-81	A0A0B4J1V7			FALSE	FALSE	TRUE	TRUE	1
IGHV3-74	A0A0B4J1X5			FALSE	FALSE	TRUE	TRUE	1
IGHV3-43	A0A0B4J1X8			FALSE	FALSE	TRUE	TRUE	1
IGHV3-72	A0A0B4J1Y9			FALSE	FALSE	TRUE	TRUE	1
IGHV1-69D	A0A0B4J2H0			FALSE	FALSE	TRUE	TRUE	1
TRGV8	A0A0C4DH27			FALSE	FALSE	TRUE	TRUE	1
TRGV4	A0A0C4DH28			FALSE	FALSE	TRUE	TRUE	1
IGHV1-3	A0A0C4DH29			FALSE	FALSE	TRUE	TRUE	1
IGHV3-16	A0A0C4DH30			FALSE	FALSE	TRUE	TRUE	1
IGHV1-18	A0A0C4DH31			FALSE	FALSE	TRUE	TRUE	1
IGHV3-20	A0A0C4DH32			FALSE	FALSE	TRUE	TRUE	1
IGHV1-24	A0A0C4DH33			FALSE	FALSE	TRUE	TRUE	1
IGHV4-28	A0A0C4DH34			FALSE	FALSE	TRUE	TRUE	1
IGHV3-35	A0A0C4DH35			FALSE	FALSE	TRUE	TRUE	1
IGHV3-38	A0A0C4DH36			FALSE	FALSE	TRUE	TRUE	1
IGHV5-51	A0A0C4DH38			FALSE	FALSE	TRUE	TRUE	1
IGHV1-58	A0A0C4DH39			FALSE	FALSE	TRUE	TRUE	1
IGHV4-61	A0A0C4DH41			FALSE	FALSE	TRUE	TRUE	1
IGHV3-66	A0A0C4DH42			FALSE	FALSE	TRUE	TRUE	1
IGHV2-70D	A0A0C4DH43			FALSE	FALSE	TRUE	TRUE	1
IGHV1-69-2	A0A0G2JMI3			FALSE	FALSE	TRUE	TRUE	1
IGHV7-4-1	A0A0J9YVY3			FALSE	FALSE	TRUE	TRUE	1
IGHV3-64D	A0A0J9YX35			FALSE	FALSE	TRUE	TRUE	1
IGHV5-10-1	A0A0J9YXX1			FALSE	FALSE	TRUE	TRUE	1
TRBC2	A0A5B9			FALSE	FALSE	TRUE	TRUE	1
SLC12A8	A0AV02	84561		TRUE	FALSE	FALSE	FALSE	1
ESYT2	A0FGR8	57488		FALSE	TRUE	FALSE	TRUE	1
ESYT3	A0FGR9	83850		TRUE	TRUE	FALSE	TRUE	2
IGLC7	A0M8Q6			FALSE	FALSE	TRUE	TRUE	1
SLC5A10	A0PJK1	125206		TRUE	FALSE	FALSE	TRUE	1
CLRN2	A0PK11	645104		TRUE	FALSE	FALSE	FALSE	1
TMEM30CP	A0ZSE6			TRUE	FALSE	FALSE	TRUE	1
ARHGAP10	A1A4S6	79658		FALSE	TRUE	FALSE	TRUE	1
ANO9	A1A5B4	338440	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2
SLC22A23	A1A5C7	63027	2 - putative	TRUE	FALSE	FALSE	FALSE	2
TSPAN11	A1L157	441631		TRUE	FALSE	FALSE	TRUE	1
TMEM213	A2RRL7	155006		TRUE	FALSE	FALSE	FALSE	1
FAM234B	A2RU67	57613	2 - putative	FALSE	FALSE	FALSE	FALSE	1
TMEM131L	A2VDJ0	23240	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2
OR2M5	A3KFT3	127059		TRUE	FALSE	FALSE	TRUE	1
LAMB4	A4D0S4	22798		FALSE	TRUE	FALSE	FALSE	1
OR2A25	A4D2G3	392138		TRUE	FALSE	FALSE	TRUE	1
SLC35F4	A4IF30	341880		TRUE	FALSE	FALSE	FALSE	1
HTR3E	A5X5Y0	285242		TRUE	FALSE	FALSE	TRUE	1
MEGF11	A6BM72	84465		TRUE	FALSE	FALSE	TRUE	1
CDHR4	A6H8M9	389118		TRUE	FALSE	FALSE	TRUE	1
TMEM150B	A6NC51	284417		TRUE	FALSE	FALSE	TRUE	1
OR6C74	A6NCV1	254783		TRUE	FALSE	FALSE	TRUE	1
IZUMO1R	A6ND01	390243		TRUE	TRUE	TRUE	TRUE	3
OR14I1	A6ND48	401994		TRUE	FALSE	FALSE	TRUE	1
LRIT2	A6NDA9	340745		TRUE	FALSE	FALSE	FALSE	1
OR5H15	A6NDH6	403274		TRUE	FALSE	FALSE	TRUE	1
OR6C68	A6NDL8	403284		TRUE	FALSE	FALSE	TRUE	1
MYADML2	A6NDP7	255275		TRUE	FALSE	FALSE	FALSE	1
TMEM8B	A6NDV4	51754		TRUE	TRUE	TRUE	TRUE	3
OR5K3	A6NET4	403277		TRUE	FALSE	FALSE	TRUE	1
ANTXRL	A6NF34	195977		TRUE	FALSE	TRUE	TRUE	2
OR6C6	A6NF89	283365		TRUE	FALSE	FALSE	TRUE	1
TRABD2B	A6NFA1	388630		TRUE	FALSE	FALSE	TRUE	1
TMEM235	A6NFC5	283999		TRUE	FALSE	FALSE	TRUE	1
MFSD2B	A6NFX1	388931		TRUE	FALSE	FALSE	TRUE	1
IGLON5	A6NGN9	402665	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1
GGT3P	A6NGU5		3 - unspecific	TRUE	FALSE	FALSE	TRUE	2
STRCP1	A6NGW2			FALSE	FALSE	TRUE	FALSE	1
OR51F1	A6NGY5			TRUE	FALSE	FALSE	TRUE	1
OR2T8	A6NH00	343172		TRUE	FALSE	FALSE	TRUE	1
SERINC4	A6NH21	619189		TRUE	FALSE	FALSE	FALSE	1
OR4C46	A6NHA9	119749		TRUE	FALSE	FALSE	TRUE	1
OR5H14	A6NHG9	403273		TRUE	FALSE	FALSE	TRUE	1
MANSC4	A6NHS7	100287284		TRUE	FALSE	FALSE	FALSE	1
LILRA5	A6NI73	353514	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3
OR6C70	A6NIJ9	390327		TRUE	FALSE	FALSE	TRUE	1
SLC15A5	A6NIM6	729025		TRUE	FALSE	FALSE	FALSE	1
CD8B2	A6NJW9			TRUE	FALSE	TRUE	TRUE	2
OR6C65	A6NJZ3	403282		TRUE	FALSE	FALSE	TRUE	1
SLC22A20P	A6NK97			TRUE	FALSE	FALSE	FALSE	1
PCNX2	A6NKB5	80003		TRUE	FALSE	FALSE	FALSE	1
OR5H1	A6NKK0	26341		TRUE	FALSE	FALSE	TRUE	1
TMEM200C	A6NKL6	645369	2 - putative	FALSE	FALSE	FALSE	FALSE	1
OR6C75	A6NL08	390323		TRUE	FALSE	FALSE	TRUE	1
OR5B21	A6NL26	219968		TRUE	FALSE	FALSE	TRUE	1
SHISA7	A6NL88	729956		TRUE	FALSE	FALSE	TRUE	1
OR2AG2	A6NM03	338755		TRUE	FALSE	FALSE	TRUE	1
LRRC37A2	A6NM11	474170		TRUE	FALSE	FALSE	FALSE	1
CLDN24	A6NM45	100132463		TRUE	FALSE	FALSE	TRUE	1
OR6C76	A6NM76	390326		TRUE	FALSE	FALSE	TRUE	1
SIGLEC16	A6NMB1			TRUE	FALSE	FALSE	TRUE	1
OR5K4	A6NMS3	403278		TRUE	FALSE	FALSE	TRUE	1
LRRC37A	A6NMS7	9884		TRUE	FALSE	FALSE	FALSE	1
OR52A4P	A6NMU1			TRUE	FALSE	FALSE	TRUE	1
OR4C45	A6NMZ5			TRUE	FALSE	FALSE	TRUE	1
COL6A6	A6NMZ7	131873	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1
OR2AT4	A6NND4	341152		TRUE	FALSE	FALSE	TRUE	1
SLC38A8	A6NNN8	146167		TRUE	FALSE	FALSE	FALSE	1
ARHGAP32	A7KAX9	9743		FALSE	TRUE	FALSE	FALSE	1
DISP2	A7MBM2	85455	2 - putative	TRUE	FALSE	FALSE	TRUE	2
GABRR3	A8MPY1	200959		TRUE	FALSE	FALSE	TRUE	1
GSG1L2	A8MUP6	644070		TRUE	FALSE	FALSE	TRUE	1
HIDE1	A8MVS5	255809		TRUE	FALSE	FALSE	FALSE	1
FAM171A2	A8MVW0	284069	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2
HEPACAM2	A8MVW5	253012	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2
BTNL10	A8MVZ5			TRUE	FALSE	TRUE	TRUE	2
ELAPOR2	A8MWY0	222223	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2
VSTM5	A8MXK1	387804		TRUE	FALSE	FALSE	TRUE	1
COL6A5	A8TX70	256076	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1
UPK3BL1	B0FP48	100134938		TRUE	FALSE	FALSE	FALSE	1
OR11H12	B2RN74	440153		TRUE	FALSE	FALSE	TRUE	1
SMIM1	B2RUZ4	388588		FALSE	FALSE	TRUE	TRUE	1
TMEM114	B3SHH9	283953		TRUE	FALSE	FALSE	TRUE	1
SHISA9	B4DS77	729993		TRUE	FALSE	FALSE	TRUE	1
TARM1	B6A8C7	441864		TRUE	FALSE	FALSE	TRUE	1
ERVV-1	B6SEH8	147664		TRUE	FALSE	FALSE	FALSE	1
ERVV-2	B6SEH9	100271846		TRUE	FALSE	FALSE	FALSE	1
TRDC	B7Z8K6			FALSE	FALSE	TRUE	TRUE	1
SHISA8	B8ZZ34	440829		TRUE	FALSE	FALSE	TRUE	1
IGLL5	B9A064	100423062		FALSE	FALSE	TRUE	TRUE	1
KLRF2	D3W0D1	100431172		TRUE	FALSE	FALSE	TRUE	1
MUC22	E2RYF6	100507679		TRUE	FALSE	FALSE	FALSE	1
FNDC10	F2Z333	643988		TRUE	FALSE	FALSE	FALSE	1
C3orf80	F5H4A9	401097		TRUE	FALSE	FALSE	FALSE	1
PRNP	F7VJQ1;P04156	5621	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3
SLCO1B7	G3V0H7	338821		TRUE	FALSE	FALSE	TRUE	1
TMEM178B	H3BS89	100507421		TRUE	FALSE	FALSE	FALSE	1
GFY	I3L273	100507003		TRUE	FALSE	FALSE	FALSE	1
AGPS	O00116	8540	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1
FZD9	O00144	8326		TRUE	TRUE	TRUE	TRUE	3
GPR25	O00155	2848		TRUE	FALSE	FALSE	TRUE	1
SNAP23	O00161	8773		FALSE	TRUE	FALSE	TRUE	1
STXBP3	O00186	6814		FALSE	TRUE	FALSE	TRUE	1
AP4M1	O00189	9179		FALSE	TRUE	FALSE	FALSE	1
ARVCF	O00192	421		FALSE	TRUE	FALSE	TRUE	1
AP3B1	O00203	8546		FALSE	TRUE	FALSE	FALSE	1
TLR4	O00206	7099	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
TNFRSF10A	O00220	8797		TRUE	FALSE	TRUE	TRUE	2
GRM8	O00222	2918		TRUE	FALSE	FALSE	TRUE	1
SIRPB1	O00241;Q5TFQ8	10326	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3
F2RL2	O00254	2151		TRUE	FALSE	FALSE	TRUE	1
PGRMC1	O00264	10857		FALSE	TRUE	FALSE	TRUE	1
GPR31	O00270	2853		TRUE	FALSE	FALSE	TRUE	1
TNFRSF11B	O00300	4982	1 - high confidence	FALSE	FALSE	FALSE	TRUE	1
UPK1A	O00322	11045		TRUE	FALSE	TRUE	TRUE	2
SLC28A1	O00337	9154		TRUE	FALSE	FALSE	TRUE	1
SLC1A7	O00341	6512		TRUE	FALSE	FALSE	TRUE	1
QSOX1	O00391	5768	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2
P2RY10	O00398	27334	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2
SLC33A1	O00400	9197		TRUE	FALSE	FALSE	TRUE	1
CCRL2	O00421	9034		TRUE	FALSE	TRUE	TRUE	2
SYT5	O00445	6861		FALSE	TRUE	FALSE	TRUE	1
GFRA2	O00451	2675	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3
GOLIM4	O00461	27333	2 - putative	FALSE	FALSE	FALSE	FALSE	1
AGRN	O00468	375790	1 - high confidence	FALSE	FALSE	FALSE	TRUE	1
PLOD2	O00469	5352	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1
BTN3A3	O00478	10384	1 - high confidence	TRUE	FALSE	TRUE	TRUE	3
BTN3A1	O00481	11119		TRUE	FALSE	TRUE	TRUE	2
UPK2	O00526	7379		TRUE	FALSE	FALSE	TRUE	1
CHL1	O00533	10752	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2
DLL1	O00548	28514		TRUE	FALSE	FALSE	TRUE	1
CACNA1A	O00555	773		FALSE	TRUE	FALSE	TRUE	1
NOP56	O00567	10528	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1
CXCR6	O00574	10663		TRUE	FALSE	TRUE	TRUE	2
MFNG	O00587	4242	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1
ACKR2	O00590	1238		TRUE	FALSE	TRUE	TRUE	2
GABRP	O00591	2568		TRUE	FALSE	FALSE	TRUE	1
PODXL	O00592	5420	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2
FCN1	O00602	2219		FALSE	FALSE	TRUE	TRUE	1
CCN1	O00622	3491		FALSE	TRUE	FALSE	FALSE	1
NTN3	O00634	4917	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1
MAN2B1	O00754	4125	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1
WNT7A	O00755	7476		FALSE	TRUE	TRUE	TRUE	2
CLDN4	O14493	1364		TRUE	FALSE	FALSE	TRUE	1
PLPP1	O14494	8611	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2
PLPP3	O14495	8613	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2
ISLR	O14498	3671	1 - high confidence	FALSE	TRUE	FALSE	FALSE	2
NRG2	O14511	9542		TRUE	FALSE	FALSE	TRUE	1
ADGRB1	O14514	575		TRUE	TRUE	FALSE	TRUE	2
PTPRT	O14522	11122		TRUE	TRUE	TRUE	TRUE	3
NEMP1	O14524	23306	2 - putative	TRUE	FALSE	FALSE	FALSE	2
ASTN1	O14525	460		TRUE	FALSE	TRUE	TRUE	2
GAPDHS	O14556	26330	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1
ARHGAP33	O14559	115703		FALSE	TRUE	FALSE	TRUE	1
COPE	O14579	11316		FALSE	TRUE	FALSE	FALSE	1
OR7A17	O14581	26333		TRUE	FALSE	FALSE	TRUE	1
AP3D1	O14617	8943		FALSE	TRUE	FALSE	FALSE	1
GPR171	O14626	29909		TRUE	FALSE	FALSE	TRUE	1
ENPP3	O14638	5169	1 - high confidence	FALSE	FALSE	TRUE	TRUE	2
TOR1A	O14656	1861		FALSE	TRUE	FALSE	FALSE	1
TOR1B	O14657	27348	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1
ADAM10	O14672	102	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
RRH	O14718	10692		TRUE	FALSE	FALSE	TRUE	1
TNFRSF10B	O14763	8795		FALSE	FALSE	TRUE	TRUE	1
GABRD	O14764	2563		TRUE	FALSE	FALSE	TRUE	1
TPP1	O14773	1200	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1
NRP1	O14786	8829	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
TNFSF11	O14788	8600		TRUE	FALSE	FALSE	TRUE	1
TNFRSF10C	O14798	8794		TRUE	FALSE	TRUE	TRUE	2
TAAR5	O14804	9038		TRUE	FALSE	FALSE	TRUE	1
